year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ethylene_production_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,re_ef_tco2_per_mwh,grid_price_usd_per_mwh,grid_ef_tco2_per_mwh
2033,Heat_Pump,True,2.2813932149212417,33.3,19.98,242.22402778154733,295.50402778154734,176.93980781386472,5.360557118178597,3123142.611599553,44973253.607033566,Energy-based,,,,,,,,,
2033,NCC-H2,True,21514.237000656274,52.74,52.74,0.47509022461563477,105.95509022461565,,5.360557118178597,,,Energy-based,0.2,2256.6480388079895,9533.714,1072.1114236357193,,,,,
2033,NCC-Electricity,True,21511.61522930627,57.48,57.480000000000004,0.4312978954447921,115.3912978954448,,,,,Energy-based,,2256.6480388079895,9533.714,,5.5,973.168942976256,0.05,,
2033,RE_PPA,True,3.1344385982673115,0.0,0.0,631.9278850495168,631.9278850495168,176.93980781386472,,,,Energy-based,,,,,,,,100.0,0.33
2034,Heat_Pump,True,2.2069688440455173,32.4,19.439999999999998,251.91298889280918,303.7529888928092,184.0174001264193,5.187969709721238,3021258.4109702073,43506121.11797099,Energy-based,,,,,,,,,
2034,NCC-H2,True,20812.39238081052,51.12,51.120000000000005,0.45979431621615546,102.69979431621617,,5.187969709721238,,,Energy-based,0.2,2256.6480388079895,9222.702,1037.5939419442477,,,,,
2034,NCC-Electricity,True,20809.856137760522,55.84,55.84,0.4485498112625837,112.12854981126259,,,,,Energy-based,,2256.6480388079895,9222.702,,5.5,1012.095700695306,0.05,,
2034,RE_PPA,True,3.006402002515745,0.0,0.0,694.4052834959219,694.4052834959219,184.0174001264193,,,,Energy-based,,,,,,,,100.0,0.315
2035,Heat_Pump,True,2.16403170700183,31.5,18.9,261.98950844852163,312.3895084485216,191.37809613147607,5.015382301263879,2962479.0644532773,42659698.52812719,Energy-based,,,,,,,,,
2035,NCC-H2,True,20407.4820232072,49.5,49.5,0.44449840781667604,99.44449840781668,,5.015382301263879,,,Energy-based,0.2,2256.6480388079895,9043.272,1003.0764602527759,,,,,
2035,NCC-Electricity,True,20404.995123407203,54.2,54.2,0.466491803713087,108.86649180371309,,,,,Energy-based,,2256.6480388079895,9043.272,,5.5,1052.5795287231183,0.05,,
2035,RE_PPA,True,2.920101203530086,0.0,0.0,765.5123845259044,765.5123845259044,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.3
2036,Heat_Pump,True,2.089607336126106,30.6,18.36,261.9895084485216,310.94950844852156,191.37809613147607,4.8448961286321754,2860594.8638239317,41192566.039064616,Energy-based,,,,,,,,,
