year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd,scenario
2025,66.2,46.33518448745625,0.0,0,0.0,0.0,0.0,0.0,0.0,46.33518448745625,0.0,0.0,Restructuring
2026,63.620000000000005,46.79555431164883,0.0,0,0.0,0.0,0.0,0.0,0.0,46.79555431164883,0.0,0.0,Restructuring
2027,61.04,47.24898843308912,0.0,0,0.0,0.0,0.0,0.0,0.0,47.24898843308912,0.0,0.0,Restructuring
2028,58.46,47.741128465989334,0.0,0,0.0,0.0,0.0,0.0,0.0,47.741128465989334,0.0,0.0,Restructuring
2029,55.879999999999995,48.18045999183329,0.0,0,0.0,0.0,0.0,0.0,0.0,48.18045999183329,0.0,0.0,Restructuring
2030,53.3,48.658035048953685,0.0,0,0.0,0.0,0.0,0.0,0.0,48.658035048953685,0.0,0.0,Restructuring
2031,51.339999999999996,49.08524214737441,0.0,0,0.0,0.0,0.0,0.0,0.0,49.08524214737441,0.0,0.0,Restructuring
2032,49.379999999999995,49.507180262308886,0.0,0,0.0,0.12718026230889024,0.0,0.0,0.12718026230889024,49.379999999999995,0.0,0.0,Restructuring
2033,47.42,49.92384939375712,0.0,0,0.0,2.503849393757122,0.0,0.0,2.503849393757122,47.42,0.0,0.0,Restructuring
2034,45.46,50.37967606382126,0.0,0,0.0,4.919676063821257,0.0,0.0,4.919676063821257,45.46,0.0,0.0,Restructuring
2035,43.5,50.82985739443586,1.0737841255811693,0,0.0,6.256073268854693,0.0,0.004993096183952437,7.329857394435862,43.5,0.0,601.3191103254547,Restructuring
2036,40.18,51.06700894122907,2.3477129327542876,0,2.283222739620089,6.256073268854693,0.0,12.111997385123779,10.88700894122907,40.18,0.0,3431.432865712034,Restructuring
2037,36.86,51.34323737893175,2.4454816386579035,0,5.781682471419151,6.256073268854693,0.0,30.654288588141256,14.483237378931747,36.86,0.0,6673.6500178298875,Restructuring
2038,33.54,51.57071120095433,2.5426058094338466,0,9.232032122665789,6.256073268854693,0.0,48.94159336714255,18.03071120095433,33.54,0.0,9787.288083574185,Restructuring
2039,30.22,51.83683179278546,2.6433213199095116,0,12.717437204021257,6.256073268854693,0.0,67.41470862545023,21.61683179278546,30.22,0.0,12848.63296706124,Restructuring
2040,26.9,52.09779093140557,2.74554158165601,0,16.19617608089487,6.256073268854693,0.0,85.8524999970975,25.19779093140557,26.9,0.0,15819.839349273392,Restructuring
2041,24.2,52.26769265517922,2.844591834058619,0,18.967027552265908,6.256073268854693,0.0,100.53847337903768,28.06769265517922,24.2,0.0,18160.856086702646,Restructuring
2042,21.5,52.39056024767642,2.94249596757661,0,21.691991011245115,6.256073268854693,0.0,114.98123496584834,30.89056024767642,21.5,0.0,20429.853787182026,Restructuring
2043,18.8,52.55207460998217,3.0439914407943234,0,24.452009900333156,6.256073268854693,0.0,129.60980703196543,33.752074609982174,18.799999999999997,0.0,22695.19090979609,Restructuring
2044,16.1,52.70928776127876,3.1467408734043985,0,27.206473619019665,6.256073268854693,0.0,144.20894252586555,36.60928776127876,16.1,0.0,24922.757920805117,Restructuring
2045,13.4,52.86219970156616,3.2507442654068344,0,29.955382167304634,6.256073268854693,0.0,158.7786414475487,39.46219970156616,13.399999999999999,0.0,27112.668080948468,Restructuring
2046,10.72,52.945097124087226,3.315726322058079,0,32.65329753317445,6.256073268854693,0.0,173.07789505322216,42.22509712408722,10.720000000000006,5.329070518200751e-15,29212.739330409826,Restructuring
2047,8.04,53.068200505407674,3.3838451581293145,0,35.38828207842367,6.256073268854693,0.0,187.57362989563075,45.028200505407675,8.04,0.0,31309.270033112436,Restructuring
2048,5.359999999999999,53.147737606827825,3.449806870555842,0,38.081857467417294,6.256073268854693,0.0,201.84988617925973,47.787737606827825,5.359999999999999,0.0,33340.73019489313,Restructuring
2049,2.6799999999999997,53.26721184135929,3.5189837348643827,0,40.81215483764022,6.256073268854693,0.0,216.32078391386028,50.5872118413593,2.6799999999999926,0.0,35367.53203053419,Restructuring
2050,0.0,53.34338862167852,3.5859251030661916,0,43.501390249757634,6.256073268854693,0.0,230.57404287544472,53.343388621678514,7.105427357601002e-15,7.105427357601002e-15,37330.55807453945,Restructuring
