name,production,ncc_tech,carbon_pathway,price_scenario
shaheen_ncc_h2_rising_coupled,shaheen,NCC-H2,1.5C,rising_coupled
shaheen_ncc_h2_rising_decoupled,shaheen,NCC-H2,1.5C,rising_decoupled
shaheen_ncc_h2_flat_coupled,shaheen,NCC-H2,1.5C,flat_coupled
shaheen_ncc_h2_flat_decoupled,shaheen,NCC-H2,1.5C,flat_decoupled
shaheen_ncc_elec_rising_coupled,shaheen,NCC-Electricity,1.5C,rising_coupled
shaheen_ncc_elec_rising_decoupled,shaheen,NCC-Electricity,1.5C,rising_decoupled
shaheen_ncc_elec_flat_coupled,shaheen,NCC-Electricity,1.5C,flat_coupled
shaheen_ncc_elec_flat_decoupled,shaheen,NCC-Electricity,1.5C,flat_decoupled
