TechID,Year,Build_share,Share,Abatement_tCO2,Activity,Cap,Abate_per_activity
ELEC,2023,0.0,0.0,0.0,100000000.0,1.0,0.5
H2,2023,0.0,0.0,0.0,100000000.0,1.0,0.6
