scenario,scenario_key,bau_emissions_2050_mt,emissions_2050_mt,cost_2050_billion_usd,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,heat_pump_mt,h2_consumption_kt,electricity_increase_twh
Shaheen (성장),shaheen,68.040036507243,0.0,58.27449922157338,60.05422880251459,0.0,4.693960531379072,3.2918471733493444,33.587376287759845,0.0153070893560744
구조조정 25%,restructure_25pct,40.88318715348254,0.0,32.14040534351566,39.28176657281644,0.0,1.6014205806661028,0.0,21.969668105602036,0.0
구조조정 40%,restructure_40pct,35.499149482039826,0.0,27.48270155115621,33.57816678010975,0.0,1.920982701930079,0.0,18.77973533563185,0.0
