year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,grid_ef_tco2_per_mwh,grid_price_usd_per_mwh,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ncc_capacity_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,source
2025,Heat_Pump,True,1.4166779537734848,40.0,24.0,290.29261495587554,354.29261495587554,,4.579024199406941,4112511.4775124383,59220165.27617911,Energy-based,0.436,100.0,,,,,,,
2025,NCC-H2,False,22.91865159531489,68.0,68.0,313.90458267754724,449.90458267754724,,4.579024199406941,,,Energy-based (Dynamic LCOH),,,0.2,2.91746247241676,7855.679999999999,915.8048398813883,,,
2025,NCC-Electricity,False,22.91865159531489,60.0,60.0,111.39817669386416,231.39817669386417,65.0,,,,Energy-based,0.0,,,2.91746247241676,7855.679999999999,,5.0,325.0,
2025,RE_PPA,True,5.850849550156124,0.0,0.0,-90.67357512953367,-90.67357512953367,65.0,,,,Energy-based,0.436,100.0,,,,,,,
2025,RDH,False,2.139821971979272,36.0,27.0,358.2025067562504,421.2025067562504,65.0,,11792147.605770433,39480110.18411941,Energy-based,0.0,,,,,,,,Coolbrook (2024)
2026,Heat_Pump,True,1.4435885838777351,38.8,23.279999999999998,286.4485464794959,348.5285464794959,,4.436520395611882,3989136.133187065,57443560.317893736,Energy-based,0.4186,103.66,,,,,,,
2026,NCC-H2,False,22.231092047455444,65.96,65.96000000000001,304.13555873003355,436.05555873003357,,4.436520395611882,,,Energy-based (Dynamic LCOH),,,0.2,2.91746247241676,7620.009599999999,887.3040791223764,,,
2026,NCC-Electricity,False,22.231092047455444,58.2,58.2,108.00563099735115,224.40563099735115,63.02047504889287,,,,Energy-based,0.0,,,2.91746247241676,7620.009599999999,,5.0,315.1023752444643,
2026,RE_PPA,True,5.601982086442132,0.0,0.0,-110.25373019833728,-110.25373019833728,63.02047504889287,,,,Energy-based,0.4186,103.66,,,,,,,
2026,RDH,True,2.075627312819894,34.92,26.189999999999998,347.2937252228178,408.4037252228178,63.02047504889287,,11438383.17759732,38295706.87859583,Energy-based,0.0,,,,,,,,Coolbrook (2024)
