year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,rdh_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,46.3,32.394893676035366,0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.394893676035366,0,0.0
2026,44.5,31.215803873629746,0,0.0,0,0.0,0.0,0.0,0.0,0.0,31.215803873629746,0,0.0
2027,42.699999999999996,30.1774035795267,0,0.0,0,0.0,0.0,0.0,0.0,0.0,30.1774035795267,0,0.0
2028,40.9,29.118359283053653,0,0.0,0,0.0,0.0,0.0,0.0,0.0,29.118359283053653,0,0.0
2029,39.099999999999994,28.102392508716665,0,0.0,0,0.0,0.0,0.0,0.0,0.0,28.102392508716665,0,0.0
2030,37.3,27.41080197627843,0,0.0,0,0.0,0.0,0.0,0.0,0.0,27.41080197627843,0,0.0
2031,35.919999999999995,26.451405245134783,0,0.0,0,0.0,0.0,0.0,0.0,0.0,26.451405245134783,0,0.0
2032,34.54,25.50088369083125,0,0.0,0,0.0,0.0,0.0,0.0,0.0,25.50088369083125,0,0.0
2033,33.16,24.55923731336785,0,0.0,0,0.0,0.0,0.0,0.0,0.0,24.55923731336785,0,0.0
2034,31.779999999999998,23.626466112744566,0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.626466112744566,0,0.0
2035,30.4,23.037775821818563,0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.037775821818563,0,0.0
2036,28.08,21.99538734642377,0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.99538734642377,0,0.0
2037,25.759999999999998,20.96994864151889,0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.96994864151889,0,0.0
2038,23.439999999999998,19.963220498967345,0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.963220498967345,0,0.0
2039,21.12,18.97430656028913,0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.97430656028913,0,0.0
2040,18.8,17.254733067786397,0,0.0,0,0.0,0.0,0.0,0.0,0.0,17.254733067786397,0,0.0
2041,16.92,17.15232718116957,0,0.0,0,0.23232718116956974,0.0,0.0,0.0,0.23232718116956974,16.92,0,0.0
2042,15.040000000000001,17.0491845615555,0,0.0,0,1.8837932863327271,0.12539127522277127,0.0,0.0,2.0091845615554984,15.040000000000001,0,55.974665259445096
2043,13.16,16.946041941941427,0,0.6183554724211366,0,1.8837932863327271,1.2838931831875633,42.38995210854624,0.0,3.786041941941427,13.16,0,1069.4009790770199
2044,11.280000000000001,16.843636055324602,0,2.3959495858043103,0,1.8837932863327271,1.2838931831875633,164.24887095939647,0.0,5.563636055324601,11.280000000000001,0,2495.742495655679
2045,9.4,16.740493435710533,0,4.172806966190242,0,1.8837932863327271,1.2838931831875633,286.0572847563372,0.0,7.340493435710533,9.4,0,3885.244967117478
2046,7.5200000000000005,16.637350816096465,0,5.949664346576174,0,1.8837932863327271,1.2838931831875633,407.86569855327787,0.0,9.117350816096465,7.52,0,5238.499548019404
2047,5.640000000000001,16.534208196482393,0,7.726521726962101,0,1.8837932863327271,1.2838931831875633,529.6741123502184,0.0,10.894208196482392,5.640000000000001,0,6555.506238361453
2048,3.76,16.43106557686832,0,9.50337910734803,0,1.8837932863327271,1.2838931831875633,651.4825261471589,0.0,12.67106557686832,3.76,0,7836.265038143631
2049,1.88,16.327922957254252,0,11.280236487733962,0,1.8837932863327271,1.2838931831875633,773.2909399440995,0.0,14.447922957254253,1.879999999999999,0,9080.775947365937
2050,0.0,16.224780337640183,0,13.057093868119892,0,1.8837932863327271,1.2838931831875633,895.0993537410401,0.0,16.224780337640183,0.0,0,10289.038966028369
