year,year_index,carbon_benefit_musd,capex_musd,opex_musd,net_cash_flow_musd
2025.0,0.0,0.0,0.0,0.0,0.0
2026.0,1.0,97.18613333333363,277.67466666666746,8.330240000000023,-188.81877333333387
2027.0,2.0,204.09088000000023,555.3493333333339,16.660480000000014,-367.9189333333336
2028.0,3.0,224.87969602162758,582.7786097094332,17.483358291282997,-375.38227197908867
2029.0,4.0,236.12368082270896,582.7786097094332,17.483358291282997,-364.13828717800726
2030.0,5.0,590.651762400001,1388.3733333333353,41.65120000000005,-839.3727709333342
2031.0,6.0,744.2212206240009,1666.0480000000018,49.98144000000005,-971.808219376001
2032.0,7.0,911.6709952644009,1943.722666666668,58.31168000000004,-1090.3633514022672
2033.0,8.0,1094.0051943172816,2221.397333333336,66.64192000000007,-1194.0340590160542
2034.0,9.0,1292.2936357872893,2499.0720000000033,74.9721600000001,-1281.750524212714
2035.0,10.0,1507.6759084185037,2776.7466666666696,83.30240000000009,-1352.3731582481662
2036.0,11.0,1741.3656742233713,3054.421333333336,91.63264000000008,-1404.6882991099646
2037.0,12.0,1994.655226837679,3332.0960000000014,99.96288000000004,-1437.4036531623224
2038.0,13.0,2268.920320527861,3609.77066666667,108.29312000000009,-1449.1434661388087
2039.0,14.0,2565.625285519966,3887.445333333336,116.62336000000008,-1438.4434078133697
2040.0,15.0,2886.3284462099623,4165.120000000003,124.95360000000007,-1403.74515379004
2041.0,16.0,3232.687859755157,4442.794666666669,133.28384000000008,-1343.390646911513
2042.0,17.0,3606.4673935393475,4720.469333333336,141.61408000000006,-1255.6160197939882
2043.0,18.0,4009.5431610525684,4998.144000000003,149.9443200000001,-1138.5451589474344
2044.0,19.0,4443.910336833264,5275.818666666671,158.27456000000012,-990.1828898334065
2045.0,20.0,4911.690372289398,5553.493333333338,166.60480000000015,-808.4077610439416
2046.0,21.0,5415.1386354490605,5831.168000000004,174.93504000000013,-590.9644045509435
2047.0,22.0,5956.652498993967,6108.842666666671,183.26528000000013,-335.4554476727039
2048.0,23.0,6538.779902304742,6386.517333333339,191.59552000000014,-39.33295102859703
2049.0,24.0,7164.228414699108,6664.192000000005,199.92576000000014,300.11065469910324
2050.0,25.0,7835.874828577149,6941.866666666671,208.25600000000014,685.7521619104775
